iter	Passed	Remaining
0	168	84307
1	189	47249
2	198	32816
3	207	25698
4	215	21310
5	226	18640
6	240	16933
7	252	15521
8	260	14228
9	270	13231
10	275	12269
11	286	11660
12	295	11066
13	306	10629
14	320	10349
15	329	9960
16	340	9666
17	349	9363
18	361	9154
19	373	8968
20	393	8980
21	402	8749
22	413	8583
23	431	8548
24	445	8458
25	467	8530
26	494	8668
27	514	8679
28	527	8573
29	540	8467
30	556	8413
31	572	8371
32	583	8258
33	593	8135
34	604	8026
35	616	7939
36	625	7827
37	645	7850
38	658	7781
39	668	7688
40	678	7590
41	688	7511
42	700	7441
43	709	7350
44	723	7317
45	739	7294
46	749	7225
47	756	7125
48	767	7059
49	777	6999
50	784	6907
51	791	6819
52	800	6750
53	808	6673
54	820	6640
55	828	6572
56	836	6502
57	847	6461
58	855	6392
59	866	6350
60	873	6283
61	883	6242
62	898	6233
63	907	6184
64	917	6138
65	930	6116
66	937	6059
67	948	6025
68	969	6054
69	980	6023
70	989	5978
71	999	5940
72	1013	5930
73	1033	5951
74	1046	5930
75	1055	5888
76	1064	5846
77	1071	5796
78	1080	5755
79	1088	5715
80	1101	5696
81	1111	5667
82	1122	5640
83	1130	5599
84	1142	5578
85	1165	5609
86	1209	5739
87	1217	5699
88	1228	5671
89	1240	5651
90	1247	5608
91	1254	5564
92	1263	5530
93	1272	5496
94	1282	5465
95	1296	5454
96	1311	5450
97	1322	5425
98	1330	5388
99	1340	5362
100	1349	5330
101	1359	5302
102	1366	5268
103	1375	5235
104	1381	5197
105	1390	5167
106	1396	5129
107	1405	5101
108	1413	5069
109	1423	5046
110	1434	5027
111	1442	4995
112	1449	4963
113	1455	4929
114	1463	4899
115	1473	4877
116	1479	4844
117	1489	4820
118	1497	4793
119	1505	4766
120	1513	4741
121	1520	4711
122	1527	4683
123	1537	4662
124	1545	4635
125	1556	4621
126	1564	4594
127	1573	4573
128	1584	4556
129	1590	4526
130	1637	4612
131	1644	4584
132	1652	4560
133	1658	4531
134	1667	4509
135	1673	4480
136	1682	4457
137	1690	4434
138	1700	4416
139	1705	4386
140	1712	4361
141	1719	4334
142	1729	4317
143	1737	4294
144	1745	4272
145	1751	4247
146	1759	4224
147	1769	4208
148	1777	4188
149	1783	4160
150	1788	4133
151	1799	4120
152	1808	4101
153	1815	4079
154	1822	4055
155	1829	4034
156	1835	4010
157	1845	3994
158	1850	3969
159	1858	3949
160	1865	3927
161	1874	3910
162	1881	3889
163	1888	3868
164	1894	3846
165	1900	3823
166	1908	3805
167	1916	3786
168	1925	3771
169	1932	3750
170	1938	3730
171	1947	3713
172	1955	3696
173	1962	3676
174	1967	3653
175	1976	3638
176	1982	3618
177	1991	3602
178	1998	3584
179	2007	3568
180	2015	3551
181	2023	3535
182	2029	3515
183	2036	3498
184	2043	3480
185	2050	3461
186	2058	3445
187	2075	3444
188	2082	3426
189	2091	3412
190	2097	3392
191	2104	3375
192	2119	3371
193	2126	3353
194	2135	3340
195	2142	3323
196	2148	3304
197	2158	3292
198	2164	3274
199	2172	3258
200	2180	3243
201	2189	3230
202	2196	3213
203	2206	3201
204	2215	3188
205	2223	3173
206	2231	3158
207	2237	3141
208	2244	3124
209	2253	3112
210	2260	3096
211	2270	3084
212	2277	3068
213	2285	3054
214	2291	3038
215	2300	3025
216	2307	3008
217	2315	2995
218	2322	2980
219	2332	2968
220	2339	2953
221	2349	2942
222	2366	2939
223	2372	2923
224	2380	2909
225	2389	2896
226	2397	2882
227	2406	2871
228	2418	2862
229	2426	2848
230	2433	2834
231	2439	2818
232	2447	2804
233	2457	2793
234	2465	2780
235	2473	2767
236	2482	2754
237	2489	2741
238	2498	2728
239	2504	2712
240	2512	2700
241	2519	2686
242	2529	2674
243	2541	2666
244	2547	2651
245	2555	2638
246	2563	2625
247	2569	2611
248	2579	2599
249	2587	2587
250	2596	2575
251	2603	2562
252	2613	2551
253	2621	2538
254	2627	2524
255	2635	2511
256	2643	2499
257	2651	2486
258	2659	2474
259	2665	2460
260	2674	2449
261	2681	2436
262	2692	2426
263	2699	2413
264	2707	2401
265	2715	2388
266	2726	2379
267	2735	2368
268	2744	2357
269	2754	2346
270	2760	2333
271	2768	2320
272	2777	2309
273	2784	2296
274	2791	2284
275	2801	2273
276	2812	2264
277	2823	2254
278	2830	2241
279	2839	2230
280	2847	2219
281	2856	2208
282	2866	2198
283	2875	2186
284	2885	2176
285	2891	2163
286	2897	2150
287	2906	2139
288	2913	2126
289	2924	2117
290	2932	2106
291	2940	2094
292	2947	2082
293	2955	2071
294	2963	2059
295	2971	2048
296	2978	2035
297	2989	2026
298	3002	2018
299	3011	2007
300	3019	1996
301	3026	1983
302	3033	1972
303	3041	1960
304	3049	1949
305	3060	1940
306	3066	1927
307	3073	1916
308	3084	1906
309	3091	1894
310	3100	1884
311	3109	1873
312	3119	1864
313	3126	1852
314	3134	1840
315	3141	1829
316	3150	1818
317	3159	1808
318	3171	1799
319	3178	1787
320	3185	1776
321	3192	1764
322	3200	1754
323	3208	1742
324	3216	1731
325	3225	1721
326	3234	1711
327	3243	1701
328	3251	1689
329	3256	1677
330	3264	1666
331	3272	1655
332	3284	1647
333	3292	1636
334	3304	1627
335	3311	1616
336	3318	1605
337	3324	1593
338	3332	1582
339	3337	1570
340	3345	1559
341	3352	1548
342	3363	1539
343	3369	1528
344	3379	1518
345	3386	1507
346	3395	1496
347	3401	1485
348	3411	1475
349	3417	1464
350	3426	1454
351	3435	1444
352	3443	1433
353	3450	1423
354	3457	1412
355	3464	1401
356	3473	1391
357	3482	1381
358	3490	1370
359	3499	1360
360	3509	1351
361	3516	1340
362	3524	1330
363	3532	1319
364	3540	1309
365	3553	1300
366	3562	1291
367	3570	1280
368	3577	1270
369	3584	1259
370	3595	1250
371	3601	1239
372	3609	1228
373	3617	1218
374	3627	1209
375	3635	1198
376	3642	1188
377	3647	1177
378	3659	1168
379	3666	1157
380	3677	1148
381	3686	1138
382	3695	1128
383	3705	1119
384	3713	1109
385	3720	1098
386	3726	1088
387	3735	1078
388	3743	1068
389	3751	1058
390	3759	1048
391	3769	1038
392	3778	1028
393	3786	1018
394	3792	1008
395	3800	998
396	3807	987
397	3814	977
398	3826	968
399	3833	958
400	3840	948
401	3846	937
402	3854	927
403	3869	919
404	3875	909
405	3885	899
406	3891	889
407	3903	880
408	3910	869
409	3917	860
410	3925	849
411	3933	840
412	3943	830
413	3952	821
414	3960	811
415	3968	801
416	3975	791
417	3981	781
418	3988	770
419	3993	760
420	4001	750
421	4008	740
422	4019	731
423	4026	721
424	4035	712
425	4041	702
426	4050	692
427	4057	682
428	4068	673
429	4074	663
430	4083	653
431	4094	644
432	4100	634
433	4107	624
434	4114	614
435	4120	604
436	4133	595
437	4138	585
438	4148	576
439	4155	566
440	4166	557
441	4172	547
442	4178	537
443	4189	528
444	4197	518
445	4206	509
446	4215	499
447	4223	490
448	4229	480
449	4236	470
450	4244	461
451	4252	451
452	4259	441
453	4265	432
454	4276	422
455	4284	413
456	4291	403
457	4297	394
458	4301	384
459	4310	374
460	4316	365
461	4324	355
462	4333	346
463	4342	336
464	4352	327
465	4366	318
466	4377	309
467	4390	300
468	4397	290
469	4406	281
470	4412	271
471	4423	262
472	4440	253
473	4453	244
474	4460	234
475	4467	225
476	4473	215
477	4487	206
478	4494	197
479	4503	187
480	4510	178
481	4519	168
482	4528	159
483	4535	149
484	4542	140
485	4551	131
486	4559	121
487	4569	112
488	4577	102
489	4584	93
490	4592	84
491	4600	74
492	4608	65
493	4617	56
494	4623	46
495	4631	37
496	4640	28
497	4648	18
498	4654	9
499	4660	0
